name,model_v,network,residual_blocks,downsample_steps,use_att_down,lambda_mae,lambda_psnr,lambda_ssim,lambda_four,lambda_edge
LSUI_10,ie,ra,9,2,true,1.0,1.0,1.0,0,0
LSUI_13,ie,ra,9,2,true,1.0,0.1,1.0,0,0
LSUI_14,ie,ra,0,2,true,1.0,1.0,1.0,0,0
LSUI_15,ie,ra,0,2,false,1.0,1.0,1.0,0,0
LSUI_16,ie,ra,9,2,true,1.0,1.0,0,0,0
LSUI_17,ie,ra,9,2,true,1.0,0,1.0,0,0
LSUI_18,ie,ra,9,2,true,1.0,0,0,0,0
LSUI_19,ie,ra,9,2,false,1.0,1.0,1.0,0,0
LSUI_20,ie,ra,0,2,false,1.0,0,0,0,0
LSUI_21,ie,ra,12,2,true,1.0,1.0,1.0,0,0
LSUI_22,ie,ra,15,2,true,1.0,1.0,1.0,0,0
LSUI_23,ie,ra,9,2,true,1.0,0.1,5.0,0,0
LSUI_24,ie,ra,21,2,true,1.0,1.0,1.0,0,0
LSUI_25,ie,ra,15,2,true,1.0,0.1,1.0,0,0
LSUI_01,ie3,ra,9,2,true,1.0,1.0,1.0,1.0,0
LSUI_02,ie3,ra,9,2,true,1.0,0.1,1.0,1.0,0
LSUI_03,ie3,ra,15,2,true,1.0,0.1,1.0,1.0,0
LSUI_04,ie3,ra,9,2,true,1.0,0.1,5.0,1.0,0
LSUI_05,ie3,ra,15,2,true,1.0,0.1,5.0,1.0,0
LSUI_01,ie4,ra,15,2,true,1.0,0.1,1.0,1.0,1.0
LSUI_02,ie4,ra,15,2,true,1.0,0.1,1.0,1.0,5.0
LSUI_03,ie4,ra,15,2,true,1.0,1.0,1.0,1.0,1.0
LSUI_04,ie4,ra,15,2,true,1.0,0,1.0,1.0,1.0
LSUI_05,ie4,ra,15,2,true,1.0,0,5.0,1.0,1.0
LSUI_06,ie4,ra,15,2,true,1.0,0,0,1.0,1.0
LSUI_07,ie4,ra,15,2,true,1.0,0,0,1.0,0
LSUI_08,ie4,ra,15,2,true,1.0,0,0,0,0
LSUI_09,ie4,ra,15,2,true,1.0,0,1.0,0.5,1.0
LSUI_10,ie4,ra,15,2,true,1.0,0,1.0,0.5,0.5
LSUI_11,ie4,ra,15,2,true,1.0,0,1.0,0.5,0
LSUI_12,ie4,ra,15,2,true,1.0,0,1.0,0,0.5
LSUI_13,ie4,ra,15,2,true,1.0,0,0,0.5,0.5
LSUI_14,ie4,ra,15,2,true,1.0,0,0,0.1,0.5
LSUI_15,ie4,ra,15,2,true,1.0,0,1.0,0.1,0.5
LSUI_16,ie4,ra,15,2,true,1.0,0,0.5,0.1,0.5
LSUI_17,ie4,ra,15,2,true,1.0,0,1.0,0.1,0.2
LSUI_18,ie4,ra,15,2,true,1.0,0,0.5,0.1,0.2
LSUI_19,ie4,ra,15,2,true,1.0,0,0.5,0,0.5
LSUI_20,ie4,ra,15,2,true,1.0,0,1.0,0.5,0.2
LSUI_21,ie4,ra,15,2,true,1.0,0,1.0,0,0.2
LSUI_22,ie4,ra,15,2,true,1.0,0,1.0,0.5,0.1
LSUI_23,ie4,ra,15,2,true,1.0,0,1.0,0,0.1
LSUI_24,ie4,ra,15,2,true,1.0,0,1.0,0,0
LSUI_25,ie4,ra,15,2,true,1.0,0,1.0,0.1,1.0
LSUI_26,ie4,ra,15,2,true,1.0,0,0,0.3,0
LSUI_27,ie4,ra,15,2,true,1.0,0,0,0.2,0
LSUI_28,ie4,ra,15,2,true,1.0,0,0,0.1,0
